kind,level,ref,detail
sequence-gap,fund,ДАХмО,"8533 missing in 1..9126: 24,26,51,53,76,86,88,97,101,122,126,128-129,141,144-170,172-177,179-194,196,202,205,208-209,…"
sequence-gap,description,ДАХмО-113,"3 missing in 1..63: 33,39,58"
sequence-gap,description,ДАХмО-135,"11 missing in 1..14: 2-10,12-13"
sequence-gap,description,ДАХмО-Р6193,"5 missing in 1..16: 10-11,13-15"
sequence-gap,description,ДАХмО-Р302,1 missing in 1..13: 5
sequence-gap,description,ДАХмО-Р338,1 missing in 1..26: 12
sequence-gap,description,ДАХмО-Р8,2 missing in 1..6: 4-5
sequence-gap,description,ДАХмО-П6193,3 missing in 2..7: 3-5
sequence-gap,description,ДАХмО-Р1185,1 missing in 4..12: 10
sequence-gap,description,ДАХмО-Р1211,1 missing in 1..7: 5
sequence-gap,case,ДАХмО-5-1,"2 missing in 1..988: 130,861"
sequence-gap,case,ДАХмО-6-1,"757 missing in 1..1050: 290-823,825-955,957-1036,1038-1049"
sequence-gap,case,ДАХмО-17-1,"19 missing in 1..623: 36-37,154,167,203-204,233,362,365,399,469,476,484,494,502,506-507,556,560"
sequence-gap,case,ДАХмО-17-2,"119 missing in 1..231: 3,5,28,101-207,209-217"
sequence-gap,case,ДАХмО-18-1,2 missing in 1..1997: 1450-1451
sequence-gap,case,ДАХмО-28-1,"4 missing in 1..485: 226,234,271,426"
sequence-gap,case,ДАХмО-29-1,"337042 missing in 1..337339: 59-63,65,68,71-72,80,82-84,87,89,93,96,98-100,104-107,109-114,118,120,126-127,129,131,134-145,148,…"
sequence-gap,case,ДАХмО-52-1,"2 missing in 1..79: 49,62"
sequence-gap,case,ДАХмО-60-1,1 missing in 1..19: 14
sequence-gap,case,ДАХмО-63-1,1 missing in 1..29: 20
sequence-gap,case,ДАХмО-65-1,1 missing in 1..535: 404
