kind,level,ref,detail
sequence-gap,fund,ДАЧвО,"2884 missing in 1..2913: 5-11,13-29,31-32,34-38,40-89,91-92,94-100,103-215,218-239,241-244,246-320,322-324,327,329-405,407-604,606-987,989-1022,1025-1241,1243-1244,1246-2837,…"
sequence-gap,description,ДАЧвО-1,1 missing in 1..5: 3
sequence-gap,case,ДАЧвО-4-2,12 missing in 1..32: 20-31
sequence-gap,case,ДАЧвО-4-1,"744 missing in 1..2544: 136,237,265,451,456-463,467,483,599,604,693,738,874-1184,1253,1308,1592,1615,1664,1666,1720,1726,…"
sequence-gap,case,ДАЧвО-1245-2,"3 missing in 1..367: 57,129,215"
sequence-gap,case,ДАЧвО-1245-3,"19 missing in 1..338: 24,95-96,176-182,329-337"
sequence-gap,case,ДАЧвО-1245-4,"6 missing in 1..228: 63-64,105-108"
sequence-gap,case,ДАЧвО-1245-5,"8 missing in 1..242: 21,38,146-148,209-211"
sequence-gap,case,ДАЧвО-1245-6,"14 missing in 1..387: 24,31,94,111,142-147,316,326,354-355"
sequence-gap,case,ДАЧвО-1245-7,"14 missing in 1..347: 9,15,155,161,168,170,175,181-182,282,284,289,303,322"
sequence-gap,case,ДАЧвО-1245-8,"7 missing in 1..235: 11,62,148-152"
sequence-gap,case,ДАЧвО-1245-9,"106 missing in 1..494: 69-71,162-165,167-183,185-187,189-198,200-225,227-237,239-240,242-261,263-269,377,414,416"
sequence-gap,case,ДАЧвО-1245-10,"28 missing in 1..199: 77,172-198"
sequence-gap,case,ДАЧвО-1245-11,1 missing in 1..326: 200
sequence-gap,case,ДАЧвО-1245-12,"3 missing in 1..269: 53,149-150"
sequence-gap,case,ДАЧвО-1245-13,9 missing in 1..537: 454-462
sequence-gap,case,ДАЧвО-1245-1,"9 missing in 1..1021: 40,96,167,219,239,326,375,496,931"
sequence-gap,case,ДАЧвО-12-1,"91009 missing in 5..97561: 6-11,15,17-50,52-73,75-128,130-201,203-269,271-291,294,297,301,303-305,310,318-362,364-366,370-385,412-414,673,808,878-925,…"
sequence-gap,case,ДАЧвО-12-2,"77616 missing in 2..78112: 3-4,6-8,10-11,15,17-19,21-27,29-36,39-50,52,54-66,68-71,73,80-81,83-86,88-89,92-93,95-98,100-104,124,181-198,…"
sequence-gap,case,ДАЧвО-12-3,"1767 missing in 5..2006: 8,13-15,48,93,95-102,104-105,107-108,110-111,113,115-118,121,123-141,143,150-160,163-169,171-174,176,178-180,182-187,189-191,…"
sequence-gap,case,ДАЧвО-39-1,"52 missing in 1..6434: 15,156,232,238,272,313,319,324,448,549,621,833,843-844,846,855-856,867-870,955,1045-1046,1135-1137,1341-1349,…"
