kind,level,ref,detail
sequence-gap,fund,ДАЧгО,"8598 missing in 8..9082: 9,12-14,18,21-22,24-38,42-46,48-49,52-59,61,64,66,68,70-71,73,77-82,84-85,87,89,91-100,102-105,…"
sequence-gap,description,ДАЧгО-127,"921 missing in 1..1015: 8,43,45,47,49,53-54,57,60,66-74,77-78,80,82-87,89,91,93-94,101,118-131,133-145,147-151,153-162,…"
sequence-gap,description,ДАЧгО-128,"45 missing in 1..48: 2,4-47"
sequence-gap,description,ДАЧгО-366,1 missing in 1..4: 2
sequence-gap,description,ДАЧгО-133,1 missing in 1..5: 3
sequence-gap,description,ДАЧгО-433,1 missing in 1..4: 2
sequence-gap,description,ДАЧгО-Р651,"16 missing in 1..23: 2,7-20,22"
sequence-gap,description,ДАЧгО-П470,"8 missing in 2..16: 3,6-11,14"
sequence-gap,description,ДАЧгО-9016,"2 missing in 1..6: 3,5"
sequence-gap,description,ДАЧгО-Р647,"25 missing in 2..29: 3-6,8-28"
sequence-gap,description,ДАЧгО-712,3 missing in 1..7: 4-6
sequence-gap,description,ДАЧгО-151,1 missing in 1..5: 2
sequence-gap,description,ДАЧгО-179,"22 missing in 1..34: 4-22,27,29,33"
sequence-gap,description,ДАЧгО-Р5036,"8 missing in 2..14: 4-5,7-11,13"
sequence-gap,case,ДАЧгО-128-1,"14055 missing in 144..14383: 145-570,572-628,630-759,761-774,776-830,832,834-852,854-865,867-943,945-1054,1056-1063,1065-1114,1116-1411,1413-1417,1419-1522,1524-1583,1585-1882,1884-1906,1908-1986,1988-2192,…"
sequence-gap,case,ДАЧгО-152-1,"134 missing in 8..199: 11-12,14-18,22-38,40-45,47-52,55-59,61-74,77-78,83-85,87-90,95-97,101-105,107,109,111-122,124-127,130,132-138,141-143,145,…"
sequence-gap,case,ДАЧгО-206-1,1 missing in 1..99: 68
sequence-gap,case,ДАЧгО-1430-1,"464 missing in 1..586: 30,34,42-50,122,127-308,310-579"
sequence-gap,case,ДАЧгО-127-92А,"470 missing in 5..520: 6-21,23-53,56-77,79-91,93,95-100,102-107,109-130,132-135,137-142,144-152,154-158,161,163-164,166-169,171-175,177-186,188-189,192-207,209-220,…"
sequence-gap,case,ДАЧгО-127-100А,"119 missing in 29..160: 31-37,39-74,77-108,110-111,113-126,128-134,136-139,141,143-146,148-159"
sequence-gap,case,ДАЧгО-127-102А,"144 missing in 11..164: 12-57,59-70,72-77,79-81,83,85-127,129-157,159,161-163"
sequence-gap,case,ДАЧгО-127-14,"4202 missing in 10..4335: 11-179,181-221,223-277,279-418,420-536,538,540-552,554-601,603-644,646-723,725-760,762-909,911-929,931-983,985-1138,1140-1305,1307-1475,1477-1512,1514-1757,1759-2059,…"
sequence-gap,case,ДАЧгО-127-2А,"4172 missing in 29..4217: 30-44,46-88,90-112,114-156,158-170,172-448,450-476,478-565,567-593,595-662,664-733,735-744,746-2469,2471-2536,2538-3672,3674-4216"
sequence-gap,case,ДАЧгО-127-1,"19711 missing in 88..19956: 89-179,181-187,189-196,198-320,322-348,350-367,369-582,584-601,603-648,650-2390,2392-3552,3554-3701,3703-3714,3716-3965,3967-3998,4000-4100,4102-4158,4160-4305,4307-4603,4605-4694,…"
sequence-gap,case,ДАЧгО-127-63А,"113 missing in 11..135: 12-31,33-35,37,39,42-57,59-103,106-107,109-124,126-134"
sequence-gap,case,ДАЧгО-127-99А,"280 missing in 23..323: 25-35,38-47,50-95,97-107,109-147,149-162,164-203,205-209,211-220,222-238,240-244,246-252,254-288,290-296,298-314,316-319,321-322"
sequence-gap,case,ДАЧгО-127-110А,"181 missing in 19..223: 20-26,28,30-44,46-49,51-60,62,64-73,75-81,83-92,94-104,106-134,136-140,142,144-160,164-171,173-183,185-187,189-190,192-196,198-210,…"
sequence-gap,case,ДАЧгО-127-112А,"176 missing in 3..191: 4-19,21-46,48-52,54-56,58,60,64-108,110-120,122-130,132-190"
sequence-gap,case,ДАЧгО-127-13А,"4971 missing in 71..5230: 72-98,100-108,110-269,271-508,510-555,557-601,603-670,672-758,760-768,770-828,830-836,839-975,977-1002,1004-1009,1011-1120,1122-1164,1166-1187,1190-1193,1195-1206,1209-1229,…"
sequence-gap,case,ДАЧгО-127-115А,"218 missing in 2..231: 3-45,47-55,57-60,62-65,67-74,76-115,117-126,128,130-132,134-202,204-230"
sequence-gap,case,ДАЧгО-127-62А,"250 missing in 41..310: 42-202,204-214,216-219,223-232,234-239,241-245,247-255,257-262,264-275,277-287,289-290,292-293,296,298-299,301-306,308-309"
sequence-gap,case,ДАЧгО-127-24А,"526 missing in 130..665: 131-172,174-378,380-418,420-462,465-529,531-554,556-663"
sequence-gap,case,ДАЧгО-127-32Б,"239 missing in 67..323: 68-79,81-86,88-107,109-111,113-128,131,133-144,146-148,151-172,174-176,178-206,208-223,225-237,239-243,245-322"
sequence-gap,case,ДАЧгО-127-107А,"135 missing in 8..162: 9,11-12,14-17,19-25,27,29,32-37,39-48,50-81,84-92,94-105,108-116,118-124,126-143,146-161"
sequence-gap,case,ДАЧгО-127-12,"1375 missing in 50..1439: 51-220,222-247,249-629,631-728,730-737,744-918,920-921,923-1224,1226-1438"
sequence-gap,case,ДАЧгО-127-20Б,"156 missing in 43..213: 44-53,55-62,64-65,67-76,78-88,90-102,104,106,108-127,129-149,151-164,166-180,182-193,195-212"
sequence-gap,case,ДАЧгО-127-21,"2522 missing in 163..2696: 164-167,169-355,357-654,656-676,678-679,681-688,690-979,981-1062,1064-1973,1975-2087,2089-2695"
sequence-gap,case,ДАЧгО-127-11,"2322 missing in 40..2376: 41-228,230-556,558-780,782-834,836-1170,1172-1534,1536-1560,1562-1717,1719-1753,1755-1953,1955-2362,2364,2366-2369,2371-2375"
sequence-gap,case,ДАЧгО-127-10,"3055 missing in 21..3205: 22-159,161,163-172,174-176,178-326,328,330-342,344-352,354-440,442-493,495-550,552-559,562-563,565-570,572-612,614-671,673-679,681-682,684,686-689,…"
sequence-gap,case,ДАЧгО-127-5А,"2481 missing in 6..2496: 7-163,165-344,346-429,431-432,434-769,771-885,887-2107,2109-2338,2340-2495"
