kind,level,ref,detail
junk-code,fund,ДАЧкО/БІБЛ,"irregular shape, migrated as ""БІБЛ"""
junk-code,fund,ДАЧкО/ДАЧО8,"irregular shape, migrated as ""ДАЧО8"""
junk-code,fund,ДАЧкО/ДАЧО712,"irregular shape, migrated as ""ДАЧО712"""
junk-code,fund,ДАЧкО/ДАЧО841,"irregular shape, migrated as ""ДАЧО841"""
sequence-gap,fund,ДАЧкО,"58247 missing in 1..58991: 5,13-15,17,27,83,85,87,89,132,139,141,161,164,166-167,170,172-173,177-179,187,189,191,…"
sequence-gap,description,ДАЧкО-931,15 missing in 1..18: 3-17
sequence-gap,description,ДАЧкО-Р5899,2 missing in 1..28: 26-27
sequence-gap,description,ДАЧкО-152,"52 missing in 1..123: 69,72-122"
sequence-gap,description,ДАЧкО-403,"90 missing in 1..133: 14,23,29,31,34,36-40,45-46,55-132"
sequence-gap,description,ДАЧкО-127,"1074 missing in 1..1079: 2-1011,1013,1016-1078"
sequence-gap,description,ДАЧкО-Р2635,1 missing in 1..4: 2
sequence-gap,description,ДАЧкО-П1132,2 missing in 2..7: 5-6
sequence-gap,description,ДАЧкО-Р121,1 missing in 2..5: 3
sequence-gap,case,ДАЧкО-152-3,"42 missing in 1..124: 8-23,25-48,71,114"
sequence-gap,case,ДАЧкО-152-41,1 missing in 1..13: 11
sequence-gap,case,ДАЧкО-152-71,"7 missing in 1..178: 127,169-174"
sequence-gap,case,ДАЧкО-152-14,3 missing in 1..86: 82-84
sequence-gap,case,ДАЧкО-152-43,"8 missing in 1..140: 8,68,105,125,136-139"
sequence-gap,case,ДАЧкО-152-10,2 missing in 1..130: 126-127
sequence-gap,case,ДАЧкО-152-46,"2 missing in 1..26: 22,25"
sequence-gap,case,ДАЧкО-152-28,5 missing in 1..46: 2-6
sequence-gap,case,ДАЧкО-152-35,6 missing in 1..97: 90-95
sequence-gap,case,ДАЧкО-152-2,1 missing in 1..39: 38
sequence-gap,case,ДАЧкО-152-1,"3 missing in 1..115: 5,11,20"
sequence-gap,case,ДАЧкО-152-24,4 missing in 1..23: 19-22
sequence-gap,case,ДАЧкО-152-30,1 missing in 1..31: 2
sequence-gap,case,ДАЧкО-152-15,2 missing in 1..51: 49-50
sequence-gap,case,ДАЧкО-247-1,13 missing in 1..49: 36-48
sequence-gap,case,ДАЧкО-581-1,23 missing in 1..41: 18-40
sequence-gap,case,ДАЧкО-561-1,"24 missing in 1..51: 2,6,8,29-39,41-50"
sequence-gap,case,ДАЧкО-156-1,"6 missing in 1..88: 10,83-87"
sequence-gap,case,ДАЧкО-889-1,"13 missing in 1..31: 7,12-19,22,24,27-28"
sequence-gap,case,ДАЧкО-243-1,1 missing in 1..68: 67
sequence-gap,case,ДАЧкО-554-1,1 missing in 2..21: 7
sequence-gap,case,ДАЧкО-558-1,"14 missing in 2..140: 3-4,10,31,38-39,53,62,66,73,75,79,84,117"
sequence-gap,case,ДАЧкО-597-1,1 missing in 1..12: 6
sequence-gap,case,ДАЧкО-230-2,1 missing in 1..49: 7
sequence-gap,case,ДАЧкО-224-1,"382 missing in 1..422: 36-39,44-421"
sequence-gap,case,ДАЧкО-224-3,"985 missing in 29..1045: 30-180,182-324,326-403,405-417,419-559,561-652,654-803,805,807-816,818-823,825,827-833,835-837,841-847,849,851-854,856,858-862,864-866,868-872,…"
sequence-gap,case,ДАЧкО-556-1,"2 missing in 1..23: 8,19"
sequence-gap,case,ДАЧкО-296-1,"6 missing in 1..56: 30-34,55"
sequence-gap,case,ДАЧкО-882-1,11 missing in 7..43: 16-26
sequence-gap,case,ДАЧкО-312-1,10 missing in 1..21: 11-20
sequence-gap,case,ДАЧкО-553-1,"3 missing in 1..56: 6,11,30"
sequence-gap,case,ДАЧкО-259-1,6 missing in 1..23: 17-22
sequence-gap,case,ДАЧкО-206-1,1 missing in 1..67: 66
sequence-gap,case,ДАЧкО-162-1,6 missing in 1..34: 27-32
sequence-gap,case,ДАЧкО-183-1,1 missing in 1..96: 69
sequence-gap,case,ДАЧкО-577-1,1 missing in 1..25: 5
sequence-gap,case,ДАЧкО-168-1,10 missing in 1..67: 57-66
sequence-gap,case,ДАЧкО-163-1,2 missing in 1..21: 19-20
sequence-gap,case,ДАЧкО-552-1,6 missing in 1..31: 6-11
sequence-gap,case,ДАЧкО-8-2,"331 missing in 1..940: 3,11-13,15-17,30-32,45,52,77,108,112,117,129-130,136-138,153,165,176,179-180,185,187,196,219,…"
sequence-gap,case,ДАЧкО-8-3,"76 missing in 9..213: 10-15,17-19,21-32,34-35,37,40-43,51,56-62,64-65,67,69-70,72-78,81-82,84-85,91,93,106,108-110,112-114,118,…"
sequence-gap,case,ДАЧкО-8-6,"27 missing in 4..40: 6-13,16-17,20,22-28,31-39"
sequence-gap,case,ДАЧкО-8-1,"250 missing in 2..903: 4,6-8,12,16-18,20-22,25-26,29,31,36,43-45,48-51,53-54,56-58,61,65,67,69-70,72-73,76-77,79-81,…"
sequence-gap,case,ДАЧкО-9310-1,"2762 missing in 1467..4339: 1468-1469,1471-1660,1662-2371,2373-2787,2789-2835,2837-2853,2855-2874,2876-2879,2881-2911,2915-2918,2921-2928,2930-2948,2950,2952-2955,2958-2962,2964-2967,2971,2973,2975-2980,2982,…"
sequence-gap,case,ДАЧкО-Р279-1,"1302 missing in 22..1479: 23-38,40-49,51-54,57-66,68-78,80-94,96,98,102-103,105-107,109-111,113-115,117-121,125-131,134-156,158-162,164-167,170,172-177,179,…"
sequence-gap,case,ДАЧкО-Р5899-1,"173 missing in 1..1127: 57,60,62-63,66,68-73,76,78,81-85,88-89,91-92,95-99,102,107-108,113-114,133,135,140-143,149,152-154,156-157,…"
sequence-gap,case,ДАЧкО-Р5899-8,"24 missing in 1..84: 10-11,25,29,39,60-68,70-74,77-79,82-83"
sequence-gap,case,ДАЧкО-Р5899-3,2 missing in 1..49: 45-46
sequence-gap,case,ДАЧкО-Р5899-4,"24 missing in 1..275: 81,91,102,105,117,126,129,142,145,156,170,176,178,181,206,220,224,229,233,242,…"
sequence-gap,case,ДАЧкО-Р5899-5,"15 missing in 1..116: 4,15,17,21,55,65,82-84,91-92,96,102-103,115"
sequence-gap,case,ДАЧкО-Р5899-6,"22 missing in 1..72: 15,18,36,38,40-42,46,49,51-55,58-59,61,63,65-66,68,71"
sequence-gap,case,ДАЧкО-Р5899-7,"19 missing in 2..80: 14,28,36-37,50,54,56,65,69-79"
sequence-gap,case,ДАЧкО-Р5899-9,1 missing in 1..118: 111
