kind,level,ref,detail
sequence-gap,fund,ЦДІАЛ,"121 missing in 1..881: 26,32,56-57,59-61,63,65-66,71,73,76-77,83,86-87,89-90,92,94-95,97-98,106-107,128,133,143,153-155,…"
sequence-gap,description,ЦДІАЛ-20,1 missing in 1..20: 3
sequence-gap,description,ЦДІАЛ-166,2 missing in 1..133: 131-132
sequence-gap,description,ЦДІАЛ-146,"7 missing in 1..109: 12,92-94,96-98"
sequence-gap,description,ЦДІАЛ-204,1 missing in 1..4: 3
sequence-gap,description,ЦДІАЛ-19,1 missing in 1..20: 11
sequence-gap,case,ЦДІАЛ-204-4А,"3537 missing in 7614..11169: 7615-7640,7642-7661,7663-7728,7730-7777,7779-7841,7843-7880,7882-8292,8294-8871,8873-8933,8935-9019,9021-9063,9065-11161,11166"
sequence-gap,case,ЦДІАЛ-238-1,1 missing in 1..205: 167
sequence-gap,case,ЦДІАЛ-358-1,"2 missing in 1..422: 72,98"
sequence-gap,case,ЦДІАЛ-358-3,"14 missing in 1..352: 46,51,101,251-260,323"
sequence-gap,case,ЦДІАЛ-427-1,"1528 missing in 46..1619: 47-338,340-347,349-423,425-1087,1089-1134,1136-1152,1154-1169,1171-1177,1179-1183,1185-1188,1190-1199,1201-1334,1336-1337,1339-1386,1395-1400,1405-1408,1410-1416,1418-1426,1432-1435,1437-1438,…"
sequence-gap,case,ЦДІАЛ-427-3,"169 missing in 63..247: 64-66,68-70,72-78,80-96,98-112,115-117,119-121,123-129,131-137,139-149,151-166,168-174,176-207,209-246"
sequence-gap,case,ЦДІАЛ-451-1,"6 missing in 1..390: 296-298,301,303,380"
sequence-gap,case,ЦДІАЛ-451-2,"7 missing in 1..830: 80,271,470,483-484,590,598"
sequence-gap,case,ЦДІАЛ-575-1,"1547 missing in 1..1829: 122,276,283-1027,1029-1828"
sequence-gap,case,ЦДІАЛ-780-3,"6 missing in 108..964: 258,682-685,963"
sequence-gap,case,ЦДІАЛ-13-1,"6 missing in 1..1105: 537,748,751-752,845,971"
sequence-gap,case,ЦДІАЛ-165-3,"21 missing in 1..5367: 8,17,21,25,1429,1703,1958,1990-1991,2008,2437,2874,2923,3885,4052,4115,4179,4378,4473,4508,5167,…"
sequence-gap,case,ЦДІАЛ-618-2,1 missing in 1..4041: 1464
sequence-gap,case,ЦДІАЛ-1-2,"8 missing in 2..142: 76-77,88,117,125-128"
sequence-gap,case,ЦДІАЛ-9-2,1 missing in 1..102: 80
sequence-gap,case,ЦДІАЛ-9-4,1 missing in 1..604: 417
sequence-gap,case,ЦДІАЛ-422ЧТ-1,"6328 missing in 1..8772: 160,230,267,470,476,495,592,621,701,759,1298,1309,1468,1591,1656-1665,1761,2101,2331-2333,2337,2343,…"
sequence-gap,case,ЦДІАЛ-19-8,"282 missing in 8..304: 9-33,35-40,42-60,62-98,100-138,140-159,161-165,167-176,178-186,188-193,195-241,243-275,278-303"
sequence-gap,case,ЦДІАЛ-20-8,"241 missing in 26..277: 27-51,54-96,98-116,118-180,182-191,193-203,205-207,209-249,251-276"
sequence-gap,case,ЦДІАЛ-134-1,"3 missing in 1..1355: 292,843,1258"
sequence-gap,case,ЦДІАЛ-146-18,"2951 missing in 1570..4533: 1571-2004,2006-3495,3497-3499,3501-3514,3516-3654,3656-4367,4369-4379,4381-4417,4420-4440,4442-4465,4467-4532"
sequence-gap,case,ЦДІАЛ-146-19,"2883 missing in 1724..4619: 1726-3701,3703-3707,3709-3722,3724-3827,3829-4417,4419-4425,4427-4445,4450-4618"
sequence-gap,case,ЦДІАЛ-146-24,1 missing in 1..15832: 3935
sequence-gap,case,ЦДІАЛ-146-21,"4 missing in 1..12085: 4353,6562,7872,8831"
sequence-gap,case,ЦДІАЛ-146-16,"1518 missing in 114..1655: 115-575,577-688,692-718,720,723,725-733,735-748,750-767,769-1072,1074-1091,1093-1109,1111-1262,1264-1370,1372-1415,1417-1509,1513-1516,1518-1629,1631-1654"
sequence-gap,case,ЦДІАЛ-146-27,1 missing in 1..844: 502
sequence-gap,case,ЦДІАЛ-146-26,"2 missing in 1..2218: 1032,1570"
sequence-gap,case,ЦДІАЛ-146-59,1 missing in 1..551: 469
sequence-gap,case,ЦДІАЛ-146-51Г,1 missing in 1..131: 88
sequence-gap,case,ЦДІАЛ-181-2,"586 missing in 1..3723: 212,287,338,396,636,902,1285,1644-1660,1702,1708,1715,1732,1802,2271,2291,2318,2469,2546,2652,2656,…"
sequence-gap,case,ЦДІАЛ-201-3,"2 missing in 1..748: 32,745"
sequence-gap,case,ЦДІАЛ-201-4А,"70950 missing in 1..82334: 6082,6084,11383-11430,11433-81844,81846-82333"
sequence-gap,case,ЦДІАЛ-422-1,"29 missing in 1..3314: 1298,1309,1468,1656-1665,1761,2101,2331-2333,2751,2793,2809,2885-2892"
sequence-gap,case,ЦДІАЛ-701-1,825 missing in 1..1246: 421-1245
sequence-gap,case,ЦДІАЛ-701-2,"916 missing in 1..953: 2-22,39-41,43-786,796-818,822-946"
sequence-gap,case,ЦДІАЛ-701-4,"219 missing in 11..297: 12,14-53,55-61,64-69,86,110,117-118,121-125,130-137,139-203,206-224,226-235,237-269,275-278,280-296"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007799767,"parsed ""ЦДІАЛ-(Volume 780-3/738 (cont.) Registration; Volume 780-3/739-740 Registration+++Volume 780-3/738 (cont.) Registration+++)"" does not single out one of 3 candidate files"
