kind,level,ref,detail
merge,fund,ЦДАВО/2,merged variants: 2 + 02
sequence-gap,fund,ЦДАВО,"1866 missing in 1..5376: 15,18,21,31,42,54-55,58-59,64-65,69,73,76,80,82,88-89,93-97,99,120,122,124,126-128,…"
sequence-gap,description,ЦДАВО-1,"1937 missing in 1..2002: 29-30,32,37-38,40-41,46-1930,1932-1934,1936-1939,1942,1948,1951,1954-1955,1957,1959,1962,1968,1970,1972-1973,1976-2001"
merge,description,ЦДАВО-8/1Н,merged variants: 1н + 1Н
merge,description,ЦДАВО-8/2Н,merged variants: 2н + 2Н
merge,description,ЦДАВО-8/3Н,merged variants: 3н + 3Н
merge,description,ЦДАВО-8/4Н,merged variants: 4н + 4Н
merge,description,ЦДАВО-8/5Н,merged variants: 5н + 5Н
merge,description,ЦДАВО-8/6Н,merged variants: 6н + 6Н
merge,description,ЦДАВО-8/7Н,merged variants: 7н + 7Н
merge,description,ЦДАВО-8/8Н,merged variants: 8н + 8Н
merge,description,ЦДАВО-8/9Н,merged variants: 9н + 9Н
merge,description,ЦДАВО-8/10Н,merged variants: 10н + 10Н
merge,description,ЦДАВО-8/11Н,merged variants: 11н + 11Н
merge,description,ЦДАВО-8/12Н,merged variants: 12н + 12Н
sequence-gap,description,ЦДАВО-8,7 missing in 1..31: 24-30
sequence-gap,description,ЦДАВО-9,2004 missing in 1..2007: 3-2006
sequence-gap,description,ЦДАВО-27,"21 missing in 1..51: 28,30-49"
sequence-gap,description,ЦДАВО-348,1 missing in 1..5: 4
sequence-gap,description,ЦДАВО-4487,1 missing in 1..4: 3
sequence-gap,description,ЦДАВО-4820,1 missing in 1..40: 15
sequence-gap,description,ЦДАВО-423,"6 missing in 1..39: 30,33-37"
sequence-gap,description,ЦДАВО-5116,"3 missing in 1..22: 14,20-21"
sequence-gap,description,ЦДАВО-4635,1 missing in 1..8: 6
sequence-gap,description,ЦДАВО-2605,"2 missing in 1..13: 7,12"
sequence-gap,description,ЦДАВО-30,"10 missing in 1..49: 8-10,12-16,43,45"
sequence-gap,description,ЦДАВО-44,38 missing in 0..44: 6-43
sequence-gap,description,ЦДАВО-4621,1 missing in 1..14: 10
sequence-gap,description,ЦДАВО-342,9 missing in 1..19: 5-13
sequence-gap,description,ЦДАВО-4980,"2 missing in 1..7: 3,6"
merge,description,ЦДАВО-5090/4ДОД,merged variants: 4ДОД + 4Д
sequence-gap,description,ЦДАВО-561,1057 missing in 1..1061: 3-1059
sequence-gap,description,ЦДАВО-4924,"3 missing in 1..51: 14,20,26"
sequence-gap,description,ЦДАВО-828,1 missing in 1..7: 4
sequence-gap,description,ЦДАВО-4743,"4517 missing in 1..4539: 4,18-4533"
sequence-gap,description,ЦДАВО-14,1 missing in 1..9: 4
sequence-gap,description,ЦДАВО-5,"1988 missing in 1..1999: 7-1977,1979-1980,1982-1985,1987,1989-1998"
sequence-gap,description,ЦДАВО-459,1 missing in 1..6: 5
sequence-gap,description,ЦДАВО-3507,1 missing in 1..10: 5
sequence-gap,description,ЦДАВО-2596,1 missing in 1..11: 8
sequence-gap,description,ЦДАВО-4627,"8 missing in 1..18: 9-10,12-17"
sequence-gap,description,ЦДАВО-4,"1983 missing in 1..1997: 4-1959,1961-1967,1969-1975,1977-1978,1984-1987,1989,1991-1996"
sequence-gap,description,ЦДАВО-174,1 missing in 0..4: 3
merge,description,ЦДАВО-2/9,merged variants: 9 + 9
sequence-gap,description,ЦДАВО-2,"1951 missing in 1..1993: 22-1886,1888-1921,1923-1959,1963,1965,1968,1970,1981-1982,1984-1992"
sequence-gap,description,ЦДАВО-5163,1 missing in 1..6: 5
sequence-gap,description,ЦДАВО-34,"2 missing in 1..28: 6,20"
sequence-gap,description,ЦДАВО-2783,1 missing in 1..11: 8
sequence-gap,description,ЦДАВО-57,1 missing in 1..7: 3
sequence-gap,description,ЦДАВО-4949,1 missing in 1..16: 7
sequence-gap,description,ЦДАВО-6,"1979 missing in 1..1983: 3-1980,1982"
sequence-gap,description,ЦДАВО-7,1985 missing in 1..1989: 4-1988
sequence-gap,description,ЦДАВО-3,"1969 missing in 1..1987: 4,6-1959,1961-1964,1966-1970,1973-1974,1983-1985"
sequence-gap,description,ЦДАВО-12,1976 missing in 1..1995: 19-1994
