kind,level,ref,detail
sequence-gap,fund,ЦДАГО,"169 missing in 1..475: 2-4,10-15,19-21,24-32,34,36,40,42,45-50,53,55,58,60,87,131-132,134-159,161-165,167-174,179-208,211-230,…"
sequence-gap,description,ЦДАГО-7,"6 missing in 1..24: 4,7-8,14,21,23"
sequence-gap,description,ЦДАГО-1,"35 missing in 1..55: 3-5,12-17,20-21,25-30,32-49"
sequence-gap,description,ЦДАГО-468,"9 missing in 5..17: 6-7,9-14,16"
sequence-gap,case,ЦДАГО-7-5,1 missing in 1..776: 682
sequence-gap,case,ЦДАГО-7-13,5 missing in 1..2139: 364-368
sequence-gap,case,ЦДАГО-7-16,1 missing in 1..1294: 429
sequence-gap,case,ЦДАГО-7-19,"4 missing in 1..5558: 1165,1218,2610,4990"
sequence-gap,case,ЦДАГО-7-20,1 missing in 1..4417: 799
sequence-gap,case,ЦДАГО-65-1,1 missing in 1..159: 128
sequence-gap,case,ЦДАГО-68-1,1 missing in 1..67: 48
sequence-gap,case,ЦДАГО-71-1,1 missing in 1..63: 59
sequence-gap,case,ЦДАГО-75-1,1 missing in 1..159: 48
sequence-gap,case,ЦДАГО-112-1,"3 missing in 1..77: 31,35-36"
sequence-gap,case,ЦДАГО-166-3,"101 missing in 154..264: 155-199,201-215,218-236,238-239,241-245,247-256,259-263"
sequence-gap,case,ЦДАГО-166-2,74 missing in 1..275: 201-274
sequence-gap,case,ЦДАГО-338-1,"2 missing in 1..297: 174,190"
sequence-gap,case,ЦДАГО-408-2,1 missing in 1..78: 29
sequence-gap,case,ЦДАГО-69-1,1 missing in 1..54: 48
sequence-gap,case,ЦДАГО-1-6,"2 missing in 1..4130: 392,1727"
sequence-gap,case,ЦДАГО-1-1,"41 missing in 1..2278: 1187,1504-1527,1617-1621,1716-1726"
sequence-gap,case,ЦДАГО-1-2,"6 missing in 1..1149: 156,779,808-810,812"
sequence-gap,case,ЦДАГО-1-8,1 missing in 1..3404: 891
sequence-gap,case,ЦДАГО-1-10,"4 missing in 1..3883: 575,1701,2158,2275"
sequence-gap,case,ЦДАГО-1-22,1 missing in 1..914: 65
sequence-gap,case,ЦДАГО-1-50,"3 missing in 1..4471: 438,2135,2606"
sequence-gap,case,ЦДАГО-1-51,"3 missing in 1..4973: 360,1733,2778"
sequence-gap,case,ЦДАГО-1-52,"7 missing in 1..6335: 2408,3214-3217,3381,3538"
sequence-gap,case,ЦДАГО-1-54,1 missing in 1..6590: 5852
junk-code,case,ЦДАГО-263-1/64038Т1А,"irregular shape, migrated as ""64038ТОМ1А"""
sequence-gap,case,ЦДАГО-263-1,"43595 missing in 2..75026: 3-20,22-57,59-119,121,123-124,128-129,131-133,135-140,142-147,153-178,180-184,186-201,203-212,214,217,220-222,224,229-231,233-235,237-247,…"
