kind,level,ref,detail
junk-code,fund,ЦДАМЛМ/БІБЛ,"irregular shape, migrated as ""БІБЛ"""
sequence-gap,fund,ЦДАМЛМ,"9 missing in 1..1442: 69,303,412,551,623,677,705,895,1342"
sequence-gap,description,ЦДАМЛМ-643,1 missing in 1..5: 3
sequence-gap,description,ЦДАМЛМ-279,1 missing in 1..4: 2
sequence-gap,description,ЦДАМЛМ-443,"18 missing in 1..28: 2-18,27"
sequence-gap,description,ЦДАМЛМ-13,"2 missing in 1..13: 3,9"
sequence-gap,description,ЦДАМЛМ-262,3 missing in 1..6: 3-5
sequence-gap,description,ЦДАМЛМ-555,4 missing in 1..7: 3-6
sequence-gap,description,ЦДАМЛМ-655,1 missing in 1..4: 3
sequence-gap,description,ЦДАМЛМ-631,2 missing in 1..5: 3-4
sequence-gap,description,ЦДАМЛМ-1125,1900 missing in 1..1903: 3-1902
sequence-gap,case,ЦДАМЛМ-263-1,"2 missing in 1..64: 40,61"
sequence-gap,case,ЦДАМЛМ-БІБЛ-1,"497653 missing in 4..498943: 7-23,26-36,38,41-46,49-54,57-70,74,76,78,80,82,86,90-91,93-95,100-102,104-123,125-126,129-156,159,161-167,…"
sequence-gap,case,ЦДАМЛМ-4-1,3 missing in 1..297: 283-285
sequence-gap,case,ЦДАМЛМ-17-1,1941 missing in 1..2282: 340-2280
sequence-gap,case,ЦДАМЛМ-18-1,67 missing in 1..92: 25-91
sequence-gap,case,ЦДАМЛМ-19-1,442 missing in 1..833: 391-832
sequence-gap,case,ЦДАМЛМ-21-2,"328 missing in 1..368: 31-344,348,350-351,355-364,366"
sequence-gap,case,ЦДАМЛМ-22-1,1 missing in 1..531: 161
sequence-gap,case,ЦДАМЛМ-22-2,417 missing in 1..460: 43-459
sequence-gap,case,ЦДАМЛМ-26-1,1 missing in 1..219: 183
sequence-gap,case,ЦДАМЛМ-27-1,1 missing in 1..252: 225
sequence-gap,case,ЦДАМЛМ-28-1,1 missing in 1..225: 45
sequence-gap,case,ЦДАМЛМ-30-1,"6 missing in 2..184: 9,14-15,25,55,171"
sequence-gap,case,ЦДАМЛМ-31-1,"3 missing in 1..52: 11-12,41"
sequence-gap,case,ЦДАМЛМ-37-1,"169 missing in 1..221: 49-63,65-100,102-107,109-220"
sequence-gap,case,ЦДАМЛМ-42-1,571 missing in 1..637: 66-636
sequence-gap,case,ЦДАМЛМ-44-2,"980 missing in 1..1159: 166-474,476-634,637,640-691,696-712,717-1158"
sequence-gap,case,ЦДАМЛМ-49-1,1 missing in 1..84: 62
sequence-gap,case,ЦДАМЛМ-52-1,"30 missing in 1..165: 7,133-158,160-162"
sequence-gap,case,ЦДАМЛМ-55-1,1 missing in 1..54: 37
sequence-gap,case,ЦДАМЛМ-56-2,66 missing in 1..148: 82-147
sequence-gap,case,ЦДАМЛМ-58-1,1 missing in 1..193: 11
sequence-gap,case,ЦДАМЛМ-59-1,"33 missing in 1..504: 95,115,122-123,146,155,163,183,222,231,240,243,279-283,294,302-306,309,320,342-344,349-350,355,450,…"
sequence-gap,case,ЦДАМЛМ-65-1,1 missing in 1..178: 160
sequence-gap,case,ЦДАМЛМ-66-1,2 missing in 1..419: 267-268
sequence-gap,case,ЦДАМЛМ-71-1,1 missing in 1..48: 24
sequence-gap,case,ЦДАМЛМ-72-1,313 missing in 1..389: 76-388
sequence-gap,case,ЦДАМЛМ-73-1,"15 missing in 1..882: 379,646,858,861,863-872,874"
sequence-gap,case,ЦДАМЛМ-73-2,"4 missing in 1..73: 23-25,38"
sequence-gap,case,ЦДАМЛМ-76-1,1879 missing in 1..1960: 81-1959
sequence-gap,case,ЦДАМЛМ-81-2,"12 missing in 1..73: 59-67,70-72"
sequence-gap,case,ЦДАМЛМ-85-1,1 missing in 1..519: 408
sequence-gap,case,ЦДАМЛМ-90-1,"2 missing in 1..373: 359,361"
sequence-gap,case,ЦДАМЛМ-91-1,2 missing in 1..297: 40-41
sequence-gap,case,ЦДАМЛМ-105-1,1 missing in 15..86: 51
sequence-gap,case,ЦДАМЛМ-115-1,27 missing in 1..63: 36-62
sequence-gap,case,ЦДАМЛМ-117-1,"4 missing in 1..240: 108-109,171,220"
sequence-gap,case,ЦДАМЛМ-120-1,47 missing in 1..164: 117-163
sequence-gap,case,ЦДАМЛМ-122-1,"2 missing in 1..420: 32,77"
sequence-gap,case,ЦДАМЛМ-124-1,"367 missing in 1..1337: 226,423,912-1117,1120-1159,1161-1270,1272,1325,1327,1330,1332-1336"
sequence-gap,case,ЦДАМЛМ-125-1,"2 missing in 1..93: 3,8"
sequence-gap,case,ЦДАМЛМ-127-1,"295 missing in 1..369: 10,16,18,28,58-267,269-272,285-294,297-363"
sequence-gap,case,ЦДАМЛМ-131-2,1 missing in 1..38: 37
sequence-gap,case,ЦДАМЛМ-134-1,"13 missing in 178..205: 179,188,190-200"
sequence-gap,case,ЦДАМЛМ-135-1,"204 missing in 1..334: 14,86,103-215,220,222,224-274,295-328,330-331"
sequence-gap,case,ЦДАМЛМ-136-1,"12 missing in 3..60: 6-8,11,35,38,41,46-47,53,55,57"
sequence-gap,case,ЦДАМЛМ-138-1,3 missing in 1..17: 14-16
sequence-gap,case,ЦДАМЛМ-143-2,1 missing in 1..20: 14
